"title","year","authors","url","doi","source","abstract","journal","publisher","publication_date","document_type","keywords","institutions","countries","citation_count","language","pmid","funding_info","llm_included","llm_excluded","llm_justification","row_id","countries_of_study","application_domain","algorithm_families","baseline_methods","challenges_addressed","evaluation_metrics","experimental_setting","dataset_simulator_testbed","key_findings","limitations","evidence_snippets","extraction_confidence","needs_review","review_reason"
"The Impact of Renewable Energy Sources on the Sustainable Development of the Economy and Greenhouse Gas Emissions","2023","Oriza Candra, Abdeljelil Chammam, José Ricardo Núñez Álvarez, Iskandar Muda, Hikmet Ş. Aybar","https://www.mdpi.com/2071-1050/15/3/2104","10.3390/su15032104","Google Scholar","Growing population and limited energy resources have impacted energy consumption. Limited fossil fuel resources and increased pollution threaten national and human societies. These elements emphasize energy sources. Renewable energy use affects growth. All new energy sources, including renewables, are crucial for global economic growth. Economic and environmental issues have led to new approaches in international environmental law, including the green economy. This study employs structural vector auto-regression (SVAR) to compare the effects and outcomes of increasing the use of renewable energy in the context of economic growth and greenhouse gas emissions in middle income countries (MICs) and high income countries (HICs). The results show that these indicators demonstrate that the production of energy from renewable sources has positive short-term and long-term economic effects with varying contributions. However, renewable energies have a greater impact on the green economy in selected MICs than in selected HICs. Therefore, the promotion of macroeconomic indicators is viewed as one of the reasons for the development of policies to increase energy production from renewable sources in selected countries.","Sustainability","Multidisciplinary Digital Publishing Institute","2023-01-22","article","Renewable energy, Natural resource economics, Greenhouse gas, Economics, Fossil fuel, Environmental impact of the energy industry, Green economy, Context (archaeology), Sustainable development, Production (economics)","State University of Padang, Prince Sattam Bin Abdulaziz University, University of the Coast, Universitas Sumatera Utara, China Medical University, Eastern Mediterranean University, China Medical University Hospital","ID, SA, CO, TW, CY","78","en","","","1","0","The paper examines the impact of transitioning to renewable energy on greenhouse gas emissions in middle-income countries (MICs) and high-income countries (HICs), which aligns with the research question and inclusion criteria. It is an empirical study published between 2010 and 2023, written in English, and has full-text availability. The study uses a quantitative analysis with structural vector auto-regression (SVAR), meeting the criteria for empirical studies with peer-reviewed methodologies.","137a206c52be","middle income countries (MICs); high income countries (HICs)","Energy and Environmental Economics","structural vector auto-regression (SVAR)","traditional fossil fuel-based energy systems","limited fossil fuel resources; increased pollution; greenhouse gas emissions","economic growth; greenhouse gas emissions","econometric analysis","","renewable energy has positive short-term and long-term economic effects; renewable energies have a greater impact on the green economy in selected MICs than in selected HICs","","Growing population and limited energy resources; Limited fossil fuel resources and increased pollution; renewable energy use affects growth; positive short-term and long-term economic effects","0.8","False",""
"Economic growth and development with low‐carbon energy","2017","Samuel Fankhauser, Frank Jotzo","https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wcc.495","10.1002/wcc.495","Google Scholar","Energy is needed for economic growth, and access to cheap, reliable energy is an essential development objective. Historically most incremental energy demand has been met through fossil fuels; however, in future that energy will have to be low carbon and ultimately zero‐carbon. Decarbonization can and needs to happen at varying speeds in all countries, depending on national circumstances. This article reviews the implications of a transition to low‐carbon energy on economic growth and development in current low‐income countries. It sets out empirical findings about trajectories for energy intensity and emissions intensity of economic growth; explores pathways to accelerate decarbonization; reviews the theoretical and empirical literature on economic costs and co‐benefits of energy decarbonization; and assesses analytical approaches. It discusses the opportunities that might arise in terms of a cleaner, more dynamic and more sustainable growth model, and the options for developing countries to implement a less‐carbon intensive model of economic development. WIREs Clim Change 2018, 9:e495. doi: 10.1002/wcc.495 This article is categorized under: Climate Economics &gt; Economics and Climate Change Climate and Development &gt; Decoupling Emissions from Development","Wiley Interdisciplinary Reviews Climate Change","Wiley","2017-10-09","article","Decoupling (probability), Natural resource economics, Economics, Climate change, Greenhouse gas, Energy intensity, Sustainable development, Fossil fuel, Developing country, Climate change mitigation","London School of Economics and Political Science, Committee on Climate Change, Australian National University","GB, AU","179","en","","","1","0","The paper meets the inclusion criteria as it examines the impact of transitioning to low-carbon energy on economic growth and development in current low-income countries, which aligns with the research question. It is an empirical study, published in 2018, and uses peer-reviewed methodologies. The paper does not match any exclusion criteria as it is not theoretical or conceptual without empirical application, focuses on developing countries and greenhouse gas emissions, and is a peer-reviewed source with full-text availability.","2d06abdc29a7","","Climate Change and Sustainable Development","","","Decarbonization; Economic growth with low-carbon energy","","Theoretical","","Decarbonization can happen at varying speeds in all countries; Low-carbon energy is essential for economic growth and development; A cleaner, more dynamic and more sustainable growth model is possible","","Energy is needed for economic growth; Decarbonization can and needs to happen at varying speeds in all countries; A cleaner, more dynamic and more sustainable growth model","0.6","False",""
"Assessing the environmental impacts of renewable energy sources: A case study on air pollution and carbon emissions in China","2023","Xihui Haviour Chen, Kienpin Tee, Marwa Elnahass, Rizwan Ahmed","https://www.sciencedirect.com/science/article/pii/S0301479723013130","10.1016/j.jenvman.2023.118525","Google Scholar","This study investigates the impact of renewable and non-renewable energy sources on carbon emissions in the context of China's 14th Five-Year Plan (2021-2025). The plan emphasises a ""Dual-control"" strategy of simultaneously setting energy consumption limits and reducing energy intensity for GDP (gross domestic product) in order to meet the targets of the five-year plan. Using a comprehensive dataset of Chinese energy and macroeconomic information spanning from 1990 to 2022, we conduct a Granger causality analysis to explore the relationship between energy sources and the level of air pollution. Our findings reveal a unidirectional link, wherein renewable energy contributes to a reduction in air pollution, while non-renewable energy sources lead to an increase. Despite the government's investment in renewable energy, our results show that China's economy remains heavily reliant on traditional energy sources (e.g., fossil fuels). This research is the first systematic examination of the interplay between energy usage and carbon emissions in the Chinese context. Our findings provide valuable insights for policy and market strategies aimed at promoting carbon neutrality and driving technological advancements in both government and industries.","Journal of Environmental Management","Elsevier BV","2023-07-06","article","Air pollution, Environmental science, Renewable energy, Greenhouse gas, Pollution, China, Environmental engineering, Environmental impact assessment, Environmental protection, Environmental pollution","Heriot-Watt University, James Cook University Singapore, Newcastle University, Kent State University, University of Kent","GB, SG, US","349","en","37421726","","1","0","The paper meets the inclusion criteria as it examines the impact of transitioning to renewable energy on greenhouse gas emissions in a developing country (China), uses empirical analysis (Granger causality analysis), and was published in English with full-text availability between 2010 and 2023. It does not match any exclusion criteria as it is an empirical study focusing on a developing country and greenhouse gas emissions, and it uses a peer-reviewed methodology.","b9dde31471bc","China","Environmental Impact Assessment","Granger causality analysis","traditional energy sources (e.g., fossil fuels)","air pollution; carbon emissions","carbon emissions; air pollution levels","case study","comprehensive dataset of Chinese energy and macroeconomic information","renewable energy contributes to a reduction in air pollution; non-renewable energy sources lead to an increase in air pollution; China's economy remains heavily reliant on traditional energy sources","","renewable energy contributes to a reduction in air pollution; non-renewable energy sources lead to an increase; China's economy remains heavily reliant on traditional energy sources","0.8","False",""
"Active Amplification of the Terrestrial Albedo to Mitigate Climate Change: An Exploratory Study","2005","Robert M. Hamwey","http://arxiv.org/abs/physics/0512170v1","10.1007/s11027-005-9024-3","arXiv","This study explores the potential to enhance the reflectance of solar insolation by the human settlement and grassland components of the Earth's terrestrial surface as a climate change mitigation measure. Preliminary estimates derived using a static radiative transfer model indicate that such efforts could amplify the planetary albedo enough to offset the current global annual average level of radiative forcing caused by anthropogenic greenhouse gases by as much as 30 percent or 0.76 W/m2. Terrestrial albedo amplification may thus extend, by about 25 years, the time available to advance the development and use of low-emission energy conversion technologies which ultimately remain essential to mitigate long-term climate change. However, additional study is needed to confirm the estimates reported here and to assess the economic and environmental impacts of active land-surface albedo amplification as a climate change mitigation measure.","","","2005-12-19T19:08:21Z","preprint","physics.ao-ph, physics.geo-ph","","","","","","","0","1","The paper does not focus on the impact of transitioning to renewable energy on greenhouse gas emissions in developing countries, which is the primary inclusion criterion. Instead, it explores enhancing the reflectance of solar insolation by the human settlement and grassland components of the Earth's terrestrial surface as a climate change mitigation measure. This matches exclusion criterion 'Studies not focusing on developing countries or greenhouse gas emissions'.","24f5ecc51be5","","Climate Change Mitigation","","","climate change","","theoretical","","amplifying the planetary albedo could offset 30% of current global radiative forcing; terrestrial albedo amplification may extend the time available to develop low-emission energy conversion technologies by 25 years","additional study needed to confirm estimates and assess economic and environmental impacts","amplifying the planetary albedo; offset the current global annual average level of radiative forcing; extend, by about 25 years, the time available to advance the development and use of low-emission energy conversion technologies","0.6","False",""
"Techno-economic analysis of renewable energy generation at the South Pole","2023","Susan Babinec, Ian Baring-Gould, Amy N. Bender, Nate Blair, Xiangkun Li, Ralph T. Muehleisen, Dan Olis, Silvana Ovaitt","http://arxiv.org/abs/2306.13552v2","10.1016/j.rser.2023.114274","arXiv","Transitioning from fossil-fuel power generation to renewable energy generation and energy storage in remote locations has the potential to reduce both carbon emissions and cost. This study presents a techno-economic analysis for implementation of a hybrid renewable energy system at the South Pole in Antarctica, which currently hosts several high-energy physics experiments with nontrivial power needs. A tailored model of resource availability and economics for solar photovoltaics, wind turbine generators, lithium-ion energy storage, and long-duration energy storage at this site is explored in different combinations with and without existing diesel energy generation. The Renewable Energy Integration and Optimization (REopt) platform is used to determine the optimal system component sizing and the associated system economics and environmental benefit. We find that the least-cost system includes all three energy generation sources and lithium-ion energy storage. For an example steady-state load of 170 kW, this hybrid system includes 180 kW-DC of photovoltaic panels, 570 kW of wind turbines, and a 3.4 MWh lithium-ion battery energy storage system. This system reduces diesel consumption by 95% compared to an all-diesel configuration, resulting in approximately 1200 metric tons of carbon footprint avoided annually. Over the course of a 15-year analysis period the reduced diesel usage leads to a net savings of 57 million United States dollars, with a time to payback of approximately two years. All the scenarios modeled show that the transition to renewables is highly cost effective under the unique economics and constraints of this extremely remote site.","","","2023-06-23T15:26:18Z","preprint","physics.soc-ph, hep-ex","","","","","","","0","1","The paper does not focus on a developing country, which is a key inclusion criterion. It examines the techno-economic analysis of renewable energy generation at the South Pole, a remote location with specific conditions that do not align with the research question focused on developing countries. Therefore, it matches exclusion criterion: 'Studies not focusing on developing countries or greenhouse gas emissions'.","3e646444148c","","Energy Generation","REopt","diesel energy generation","reducing carbon emissions; cost savings","carbon footprint; cost savings; time to payback","techno-economic analysis","REopt platform","95% reduction in diesel consumption; 1200 metric tons of carbon footprint avoided annually; 57 million US dollars in net savings","","Transitioning from fossil-fuel power generation to renewable energy generation and energy storage; reduce diesel consumption by 95%; approximately 1200 metric tons of carbon footprint avoided annually; net savings of 57 million United States dollars","0.9","False",""
"Re-examining the Role of Nuclear Fusion in a Renewables-Based Energy Mix","2021","T. E. G. Nicholas, T. P. Davis, F. Federici, J. E. Leland, B. S. Patel, C. Vincent, S. H. Ward","http://arxiv.org/abs/2101.05727v1","10.1016/j.enpol.2020.112043","arXiv","Fusion energy is often regarded as a long-term solution to the world's energy needs. However, even after solving the critical research challenges, engineering and materials science will still impose significant constraints on the characteristics of a fusion power plant. Meanwhile, the global energy grid must transition to low-carbon sources by 2050 to prevent the worst effects of climate change. We review three factors affecting fusion's future trajectory: (1) the significant drop in the price of renewable energy, (2) the intermittency of renewable sources and implications for future energy grids, and (3) the recent proposition of intermediate-level nuclear waste as a product of fusion. Within the scenario assumed by our premises, we find that while there remains a clear motivation to develop fusion power plants, this motivation is likely weakened by the time they become available. We also conclude that most current fusion reactor designs do not take these factors into account and, to increase market penetration, fusion research should consider relaxed nuclear waste design criteria, raw material availability constraints and load-following designs with pulsed operation.","","","2021-01-14T17:05:18Z","preprint","physics.soc-ph","","","","","","","0","1","The paper does not focus on the impact of transitioning to renewable energy on greenhouse gas emissions in developing countries, which is the primary concern of the research question. Instead, it discusses the role of nuclear fusion in a renewables-based energy mix, making it irrelevant to the specific research question and focus on developing countries. This matches exclusion criterion 'Studies not focusing on developing countries or greenhouse gas emissions'.","1ba309eb8d8e","","Energy","","","fusion power plant development; intermittency of renewable sources; nuclear waste design criteria","","theoretical","","motivation to develop fusion power plants is weakened by the time they become available; most current fusion reactor designs do not take into account significant factors","engineering and materials science constraints; relaxed nuclear waste design criteria","significant drop in the price of renewable energy; intermittency of renewable sources and implications for future energy grids; recent proposition of intermediate-level nuclear waste as a product of fusion","0.6","False",""
"Blockchain-Enabled Renewable Energy Certificate Trading: A Secure and Privacy-Preserving Approach","2026","Wei-Jen Liu, Wei-Yu Chiu, Weiqi Hua","http://arxiv.org/abs/2601.08339v1","10.1016/j.energy.2023.130110","arXiv","In the 21st century, transitioning to renewable energy sources is imperative, with fossil fuel reserves depleting rapidly and recognizing critical environmental issues such as climate change, air pollution, water pollution, and habitat destruction. Embracing renewable energy is not only an environmental necessity but also a strategic move with multiple benefits. By shifting to renewable energy sources and supporting their production through the acquisition of renewable energy certificates, we foster innovation and drive economic growth in the renewable energy sector. This, in turn, reduces greenhouse gas emissions, aligning with global efforts to mitigate climate change. Additionally, renewable energy certificates ensure compliance with regulations that mandate the use of renewable energy, enhancing legal adherence while promoting transparency and trust in energy sourcing. To monitor the uptake of renewable energy, governments have implemented Renewable Energy Certificates (RECs) as a tracking mechanism for the production and consumption of renewable energy. However, there are two main challenges to the existing REC schema: 1) The RECs have not been globally adopted due to inconsistent design; 2) The consumer privacy has not been well incorporated in the design of blockchain. In this study, we investigate the trading of RECs between suppliers and consumers using the directed acyclic graph (DAG) blockchain system and introduce a trading schema to help protect consumer information. Our results demonstrate lower transaction time by 41\% and energy consumption by 65\% compared to proof-of-stake.","","","2026-01-13T08:57:37Z","preprint","eess.SY","","","","","","","0","1","The paper does not focus on the country-specific impacts of transitioning to renewable energy on greenhouse gas emissions in developing countries. Instead, it proposes a blockchain-enabled approach for trading Renewable Energy Certificates (RECs) and compares transaction times and energy consumption to proof-of-stake, which aligns with exclusion criterion 'Studies not focusing on developing countries or greenhouse gas emissions'. Additionally, it is a theoretical/technical study rather than an empirical analysis of impacts, aligning with exclusion criterion 'Theoretical or conceptual studies without empirical application'.","6a693df74210","","Energy","Blockchain; Directed Acyclic Graph (DAG)","Proof-of-Stake","Inconsistent design of RECs; Consumer privacy in blockchain","Transaction time; Energy consumption","Simulation","","Lower transaction time by 41%; Lower energy consumption by 65%","","Inconsistent design; Consumer privacy; Lower transaction time by 41%; Lower energy consumption by 65%","0.8","False",""
"Multivariate LSTM-Based Forecasting for Renewable Energy: Enhancing Climate Change Mitigation","2026","Farshid Kamrani, Kristen Schell","http://arxiv.org/abs/2601.10961v1","","arXiv","The increasing integration of renewable energy sources (RESs) into modern power systems presents significant opportunities but also notable challenges, primarily due to the inherent variability of RES generation. Accurate forecasting of RES generation is crucial for maintaining the reliability, stability, and economic efficiency of power system operations. Traditional approaches, such as deterministic methods and stochastic programming, frequently depend on representative scenarios generated through clustering techniques like K-means. However, these methods may fail to fully capture the complex temporal dependencies and non-linear patterns within RES data. This paper introduces a multivariate Long Short-Term Memory (LSTM)-based network designed to forecast RESs generation using their real-world historical data. The proposed model effectively captures long-term dependencies and interactions between different RESs, utilizing historical data from both local and neighboring areas to enhance predictive accuracy. In the case study, we showed that the proposed forecasting approach results in lower CO2 emissions, and a more reliable supply of electric loads.","ArXiv.org","","2026-01-16T03:01:46Z","preprint","cs.LG","","","0","","","","0","1","The paper does not focus on the country-specific impacts of transitioning to renewable energy on greenhouse gas emissions in developing countries. Instead, it proposes a multivariate LSTM-based network for forecasting renewable energy sources generation, which is a methodological study. This does not align with the research question or inclusion criteria, but matches exclusion criterion of 'Theoretical or conceptual studies without empirical application' is not correct as it has a case study, however, it is 'Studies not focusing on developing countries or greenhouse gas emissions'.","ba828597b5d7","","Renewable Energy Forecasting","Long Short-Term Memory (LSTM)","deterministic methods; stochastic programming; K-means","variability of RES generation; complex temporal dependencies; non-linear patterns","CO2 emissions; reliability of electric load supply","case study","real-world historical data","lower CO2 emissions; more reliable supply of electric loads","","The proposed forecasting approach results in lower CO2 emissions; a more reliable supply of electric loads","0.8","False",""
"Sodium-ion batteries: present and future","2017","Jang‐Yeon Hwang, Seung‐Taek Myung, Yang-Kook Sun","https://doi.org/10.1039/c6cs00776g","10.1039/c6cs00776g","Openalex","Energy production and storage technologies have attracted a great deal of attention for day-to-day applications. In recent decades, advances in lithium-ion battery (LIB) technology have improved living conditions around the globe. LIBs are used in most mobile electronic devices as well as in zero-emission electronic vehicles. However, there are increasing concerns regarding load leveling of renewable energy sources and the smart grid as well as the sustainability of lithium sources due to their limited availability and consequent expected price increase. Therefore, whether LIBs alone can satisfy the rising demand for small- and/or mid-to-large-format energy storage applications remains unclear. To mitigate these issues, recent research has focused on alternative energy storage systems. Sodium-ion batteries (SIBs) are considered as the best candidate power sources because sodium is widely available and exhibits similar chemistry to that of LIBs; therefore, SIBs are promising next-generation alternatives. Recently, sodiated layer transition metal oxides, phosphates and organic compounds have been introduced as cathode materials for SIBs. Simultaneously, recent developments have been facilitated by the use of select carbonaceous materials, transition metal oxides (or sulfides), and intermetallic and organic compounds as anodes for SIBs. Apart from electrode materials, suitable electrolytes, additives, and binders are equally important for the development of practical SIBs. Despite developments in electrode materials and other components, there remain several challenges, including cell design and electrode balancing, in the application of sodium ion cells. In this article, we summarize and discuss current research on materials and propose future directions for SIBs. This will provide important insights into scientific and practical issues in the development of SIBs.","Chemical Society Reviews","Royal Society of Chemistry","2017-01-01","review","Energy storage, Anode, Organic radical battery, Renewable energy, Lithium (medication), Nanotechnology, Battery (electricity), Cathode, Materials science, Electrolyte","Hanyang University, Sejong University","South Korea","4980","en","28349134","","0","1","The paper does not meet the inclusion criteria as it does not examine the impact of transitioning to renewable energy on greenhouse gas emissions in developing countries. Instead, it focuses on sodium-ion batteries as an alternative energy storage system. The paper matches the exclusion criterion of not focusing on developing countries or greenhouse gas emissions, and it is also a theoretical study without empirical application.","01563ce314bb","","Energy Storage","","Lithium-ion battery (LIB) technology","load leveling of renewable energy sources; sustainability of lithium sources; cell design and electrode balancing","","Unknown","","Sodium-ion batteries (SIBs) are promising next-generation alternatives to LIBs; Sodium is widely available and exhibits similar chemistry to that of LIBs","several challenges, including cell design and electrode balancing","load leveling of renewable energy sources; limited availability and consequent expected price increase of lithium sources; Sodium-ion batteries (SIBs) are considered as the best candidate power sources","0.6","False",""
"Renewable energy-based drying of medicinal plants: enhancing efficiency, phytochemical retention, and quality.","2026","Sahar Zamani, Mehran Fathi, Mohammad-Taghi Ebadi, Azharul Karim, Venkatesh Meda, Mohammad Vahedi Torshizi","https://pubmed.ncbi.nlm.nih.gov/41957894/","10.1002/jsfa.70560","Pubmed","Drying of medicinal plants and spices (MPS) is a critical post-harvest operation for extending shelf life and preserving bioactive compounds, sensory attributes, and nutritional value. However, most industrial drying practices remain heavily dependent on fossil fuels, leading to high energy consumption, increased carbon emissions, and degradation of heat-sensitive phytochemicals. Addressing these challenges requires sustainable drying solutions that maintain product quality while minimizing environmental impacts. In this context, renewable energy-based drying technologies, including solar, wind, biogas, geothermal, and biomass systems, have received increasing attention. This review systematically evaluates renewable energy-assisted drying systems in terms of energy efficiency, greenhouse gas emission reduction, and preservation of phytochemical and sensory quality. The analysis of existing studies shows that renewable and hybrid dryers generally outperform conventional methods by lowering energy demand and improving product quality. Despite these advantages, major research gaps persist due to limited process optimization, scalability constraints, inadequate long-term techno-economic assessment, high initial investment and maintenance costs, policy and regulatory barriers, and optimization studies constrained by high computational demands and the lack of standardized evaluation frameworks. Future research should focus on cost-effective and scalable system designs, integration of the Internet of Things and machine learning for real-time monitoring and control, comprehensive nutrient retention analysis, and long-term techno-economic assessments. By consolidating current evidence and identifying critical gaps, this review provides a framework to advance sustainable, high-quality MPS drying technologies for food, pharmaceutical, and cosmeceutical applications. © 2026 Society of Chemical Industry.","Journal of the science of food and agriculture","","2026","Journal Article, Review","drying technologies, geothermal energy, medicinal plants and spices, plant phytochemicals, sustainable processing technologies","Department of Chemical and Biological Engineering, College of Engineering, University of Saskatchewan, Saskatoon, SK, Canada., Department of Horticultural Science, Faculty of Agricultural Sciences, University of Guilan, Rasht, Iran., Department of Horticultural Science, Faculty of Agriculture, Tarbiat Modares University, Tehran, Iran., School of Mechanical, Medical and Process Engineering (MMPE), Queensland University of Technology, Brisbane, QLD, Australia., Department of Bio-systems Engineering, Faculty of Agriculture, Tarbiat Modares University, Tehran, Iran.","Canada., Iran., Australia.","","","41957894","","0","1","The paper does not focus on the country-specific impacts of transitioning to renewable energy on greenhouse gas emissions in developing countries. Instead, it discusses renewable energy-based drying of medicinal plants, focusing on efficiency, phytochemical retention, and quality. This does not match the research question or inclusion criteria, but matches exclusion criterion of not focusing on developing countries or greenhouse gas emissions in the context required.","1f55cf09bf3d","","Drying of medicinal plants and spices","","conventional methods; fossil fuel-based drying","high energy consumption; increased carbon emissions; degradation of heat-sensitive phytochemicals","energy efficiency; greenhouse gas emission reduction; preservation of phytochemical and sensory quality","Unknown","","renewable and hybrid dryers generally outperform conventional methods by lowering energy demand and improving product quality","limited process optimization; scalability constraints; inadequate long-term techno-economic assessment; high initial investment and maintenance costs; policy and regulatory barriers","high energy consumption; increased carbon emissions; degradation of heat-sensitive phytochemicals; renewable and hybrid dryers generally outperform conventional methods","0.8","False",""
