"metric","count"
"CO2 emissions threshold","1"
"costs","1"
"carbon dioxide emissions reduction","1"
"operating costs","1"
"carbon emissions","1"
"Grid cost reduction","1"
"Flexible load deferral","1"
"R-Square (R2)","1"
"energy fluctuations reduction (kW)","1"
"cost reduction (%)","1"
"Frechet Inception Distance (FID) score","1"
"Kullback-Leibler divergence (KL divergence)","1"
"energy efficiency","1"
"greenhouse gas emission reduction","1"
"preservation of phytochemical and sensory quality","1"
"CO2 emissions","1"
"emission reductions","1"
"transition costs","1"
"system costs","1"
"organic matter removal","1"
"ammonium loads","1"
"COD removal","1"
"microalgae harvesting efficiency","1"
"energy density","1"
"life-cycle greenhouse gas emission reductions","1"
