"institution","count"
"State University of Padang, Prince Sattam Bin Abdulaziz University, University of the Coast, Universitas Sumatera Utara, China Medical University, Eastern Mediterranean University, China Medical University Hospital","1"
"London School of Economics and Political Science, Committee on Climate Change, Australian National University","1"
"Heriot-Watt University, James Cook University Singapore, Newcastle University, Kent State University, University of Kent","1"
"Hanyang University, Sejong University","1"
"Department of Chemical and Biological Engineering, College of Engineering, University of Saskatchewan, Saskatoon, SK, Canada., Department of Horticultural Science, Faculty of Agricultural Sciences, University of Guilan, Rasht, Iran., Department of Horticultural Science, Faculty of Agriculture, Tarbiat Modares University, Tehran, Iran., School of Mechanical, Medical and Process Engineering (MMPE), Queensland University of Technology, Brisbane, QLD, Australia., Department of Bio-systems Engineering, Faculty of Agriculture, Tarbiat Modares University, Tehran, Iran.","1"
"Department of Plastic and Reconstructive Surgery, Bedfordshire Hospitals NHS Foundation Trust, United Kingdom., Faculty of Health and Social Sciences, University of Bedfordshire, United Kingdom.","1"
"School of Mathematics and Computing, Kampala International University, Kampala, Uganda. benedict.alum@kiu.ac.ug., School of Mathematics and Computing, Kampala International University, Kampala, Uganda., Publication and Extension Department, Kampala International University, Kampala, Uganda.","1"
"Department of Sustainable Livelihoods, Graduate School of Business Leadership, University of South Africa, Pretoria, South Africa., Department of Agricultural Economics and Management, University of Eswatini, Luyengo, Eswatini., Department of Agricultural Economics, Ladoke Akintola University of Technology, Ogbomoso, Nigeria.","1"
"Life Cycle Analysis Group, Energy Systems and Infrastructure Assessment Division, Argonne National Laboratory, 9700 South Cass Avenue, Lemont, IL, 60439, USA., Department of Energy (DENERG), Politecnico di Torino, C.so Duca degli Abruzzi, 10129, Turin, Italy. matteo.prussi@polito.it., Centre for Environmental Sciences (CMK), Hasselt University, Diepenbeek, Belgium.","1"
"Catalysis Science and Technology Research Centre, Faculty of Science, Universiti Putra Malaysia, UPM, Serdang, 43400, Selangor, Malaysia., Catalysis Science and Technology Research Centre, Faculty of Science, Universiti Putra Malaysia, UPM, Serdang, 43400, Selangor, Malaysia. kreem.alsultan@yahoo.com., Department of Chemistry, Faculty of Science, Universiti Putra Malaysia, UPM, Serdang, 43400, Selangor, Malaysia. kreem.alsultan@yahoo.com., Fuel and Energy Techniques Eng. Department, South Technical university, Al-Zubair Street, Basra, Iraq. kreem.alsultan@yahoo.com., Fuel and Energy Techniques Eng. Department, South Technical university, Al-Zubair Street, Basra, Iraq., Catalysis Science and Technology Research Centre, Faculty of Science, Universiti Putra Malaysia, UPM, Serdang, 43400, Selangor, Malaysia. taufiq@upm.edu.my., Department of Chemistry, Faculty of Science, Universiti Putra Malaysia, UPM, Serdang, 43400, Selangor, Malaysia. taufiq@upm.edu.my., Biomass Valorization and Biomass Energy (BVBE), Catalysis Science and Technology Research Centre, Faculty of Science, Universiti Putra Malaysia, UPM, Serdang, 43400, Selangor, Malaysia. taufiq@upm.edu.my., University International MAIWP, Taman Batu Muda, Batu Caves, Kuala Lumpur, 68100, Malaysia. taufiq@upm.edu.my.","1"
"Faculty of Biotechnology and Food Engineering, Technion - Israel Institute of Technology, Haifa 3200003, Israel., Faculty of Biotechnology and Food Engineering, Technion - Israel Institute of Technology, Haifa 3200003, Israel","1"
"The Resnick Sustainable Center for Catalysis, Technion - Israel Institute of Technology, 3200003 Haifa, Israel","1"
"The Nancy and Stephen Grand Technion Energy Program, Technion - Israel Institute of Technology, Haifa 3200003, Israel. Electronic address: y.omer@technion.ac.il.","1"
"Department of Environmental and Resource Engineering, Technical University of Denmark, Bygningstorvet, Building 115, Kgs. Lyngby 2800, Denmark., Ekion Pty Ltd, Swanbourne, WA 6010, Australia., Department of Materials and Geosciences, Institute for Applied Geosciences, Technical University of Darmstadt, Schnittspahnstr. 9, Darmstadt 64287, Germany., Industrial Ecology Programme, Department of Energy and Process Engineering, Norwegian University of Science and Technology, Trondheim 7491, Norway., School of Earth Sciences, University of Western Australia, Crawley, WA 6009, Australia.","1"
