"journal","count"
"Unknown","4"
"Sustainability","1"
"Wiley Interdisciplinary Reviews Climate Change","1"
"Journal of Environmental Management","1"
"ArXiv.org","1"
"Chemical Society Reviews","1"
"Journal of the science of food and agriculture","1"
"Journal of hand and microsurgery","1"
"Topics in current chemistry (Cham)","1"
"PloS one","1"
"Biotechnology for biofuels and bioproducts","1"
"Scientific reports","1"
"Bioelectrochemistry (Amsterdam, Netherlands)","1"
"Environmental science & technology","1"
"The Changing Energy Mix","1"
"Scientific Data","1"
