Title,Year,Authors,URL,DOI,Source,Abstract
Dose-response relationship between weekly resistance training volume and increases in muscle mass: A systematic review and meta-analysis,2016,"Brad J. Schöenfeld, Dan Ogborn, JAMES KRIEGER",https://doi.org/10.1080/02640414.2016.1210197,10.1080/02640414.2016.1210197,Google Scholar,"The purpose of this paper was to systematically review the current literature and elucidate the effects of total weekly resistance training (RT) volume on changes in measures of muscle mass via meta-regression. The final analysis comprised 34 treatment groups from 15 studies. Outcomes for weekly sets as a continuous variable showed a significant effect of volume on changes in muscle size (P = 0.002). Each additional set was associated with an increase in effect size (ES) of 0.023 corresponding to an increase in the percentage gain by 0.37%. Outcomes for weekly sets categorised as lower or higher within each study showed a significant effect of volume on changes in muscle size (P = 0.03); the ES difference between higher and lower volumes was 0.241, which equated to a percentage gain difference of 3.9%. Outcomes for weekly sets as a three-level categorical variable (<5, 5-9 and 10+ per muscle) showed a trend for an effect of weekly sets (P = 0.074). The findings indicate a graded dose-response relationship whereby increases in RT volume produce greater gains in muscle hypertrophy."
Dose-Response Relationship of Weekly Resistance-Training Volume and Frequency on Muscular Adaptations in Trained Men,2018,"Samuel R. Heaselgrave, Joe Blacker, Benoit Smeuninx, James McKendry, Leigh Breen",https://doi.org/10.1123/ijspp.2018-0427,10.1123/ijspp.2018-0427,Google Scholar,"The findings demonstrate that 9 weekly sets of biceps-focused RT, performed in 1 weekly session, are sufficient to increase MT, whereas 18-27 sets performed over 2 weekly sessions may confer greater strength increases."
How many times per week should a muscle be trained to maximize muscle hypertrophy? A systematic review and meta-analysis of studies examining the effects of resistance training frequency,2018,"Brad J. Schöenfeld, Jozo Grgić, JAMES KRIEGER",https://doi.org/10.1080/02640414.2018.1555906,10.1080/02640414.2018.1555906,Google Scholar,"Training frequency is considered an important variable in the hypertrophic response to regimented resistance exercise. The purpose of this paper was to conduct a systematic review and meta-analysis of experimental studies designed to investigate the effects of weekly training frequency on hypertrophic adaptations. Following a systematic search of PubMed/MEDLINE, Scoups, and SPORTDiscus databases, a total of 25 studies were deemed to meet inclusion criteria. Results showed no significant difference between higher and lower frequency on a volume-equated basis. Moreover, no significant differences were seen between frequencies of training across all categories when taking into account direct measures of growth, in those considered resistance-trained, and when segmenting into training for the upper body and lower body. Meta-regression analysis of non-volume-equated studies showed a significant effect favoring higher frequencies, although the overall difference in magnitude of effect between frequencies of 1 and 3+ days per week was modest. In conclusion, there is strong evidence that resistance training frequency does not significantly or meaningfully impact muscle hypertrophy when volume is equated. Thus, for a given training volume, individuals can choose a weekly frequency per muscle groups based on personal preference."
Effects of different intensities of resistance training with equated volume load on muscle strength and hypertrophy,2018,"Thiago Lasevicius, Carlos Ugrinowitsch, Brad J. Schöenfeld, Hamilton Roschel, Lucas Duarte Tavares, et al.",https://doi.org/10.1080/17461391.2018.1450898,10.1080/17461391.2018.1450898,Google Scholar,"The present study investigated the effects of different intensities of resistance training (RT) on elbow flexion and leg press one-repetition maximum (1RM) and muscle cross-sectional area (CSA). Thirty men volunteered to participate in an RT programme, performed twice a week for 12 weeks. The study employed a within-subject design, in which one leg and arm trained at 20% 1RM (G20) and the contralateral limb was randomly assigned to one of the three conditions: 40% (G40); 60% (G60), and 80% 1RM (G80). The G20 started RT session with three sets to failure. After G20 training, the number of sets was adjusted for the other contralateral limb conditions with volume-matched. CSA and 1RM were assessed at pre, post-6 weeks, and post-12 weeks. There was time effect for CSA for the vastus lateralis (VL) (8.9%, 20.5%, 20.4%, and 19.5%) and elbow flexors (EF) (11.4%, 25.3%, 25.1%, and 25%) in G20, G40, G60, and G80, respectively (p > .05). G80 showed higher CSA than G20 for VL (19.5% vs. 8.9%) and EF (25% vs. 11.4%) at post-12 weeks (p < .05). There was time effect for elbow flexion and unilateral leg press strength for all groups post-12 weeks (p < .05). However, the magnitude of increase was higher in G60 and G80. In conclusion, when low to high intensities of RT are performed with volume-matched, all intensities were effective for increasing muscle strength and size; however, 20% 1RM was suboptimal in this regard, and only the heavier RT intensity (80% 1RM) was shown superior for increasing strength and CSA compared to low intensities."
Influence of Resistance Training Frequency on Muscular Adaptations in Well-Trained Men,2015,"Brad J. Schöenfeld, Nicholas A. Ratamess, Mark D. Peterson, Bret Contreras, Gül Tiryaki-Sönmez",https://doi.org/10.1519/jsc.0000000000000970,10.1519/jsc.0000000000000970,Google Scholar,"The purpose of this study was to investigate the effects of training muscle groups 1 day per week using a split-body routine (SPLIT) vs. 3 days per week using a total-body routine (TOTAL) on muscular adaptations in well-trained men. Subjects were 20 male volunteers (height = 1.76 ± 0.05 m; body mass = 78.0 ± 10.7 kg; age = 23.5 ± 2.9 years) recruited from a university population. Participants were pair matched according to baseline strength and then randomly assigned to 1 of the 2 experimental groups: a SPLIT, where multiple exercises were performed for a specific muscle group in a session with 2-3 muscle groups trained per session (n = 10) or a TOTAL, where 1 exercise was performed per muscle group in a session with all muscle groups trained in each session (n = 10). Subjects were tested pre- and poststudy for 1 repetition maximum strength in the bench press and squat, and muscle thickness (MT) of forearm flexors, forearm extensors, and vastus lateralis. Results showed significantly greater increases in forearm flexor MT for TOTAL compared with SPLIT. No significant differences were noted in maximal strength measures. The findings suggest a potentially superior hypertrophic benefit to higher weekly resistance training frequencies."
Dose–Response Relationships of Resistance Training in Healthy Old Adults: A Systematic Review and Meta-Analysis,2015,"Ron Borde, Tibor Hortobágyi, Urs Granacher",https://doi.org/10.1007/s40279-015-0385-9,10.1007/s40279-015-0385-9,Google Scholar,"This systematic literature review and meta-analysis confirmed the effectiveness of RT on specific measures of upper and lower extremity muscle strength and muscle morphology in healthy old adults. In addition, we were able to extract dose-response relationships for key training variables (i.e., volume, intensity, rest), informing clinicians and practitioners to design effective RTs for muscle strength and morphology. Training period, intensity, time under tension, and rest in between sets play an important role in improving muscle strength and morphology and should be implemented in exercise training programs targeting healthy old adults. Still, further research is needed to reveal optimal dose-response relationships following RT in healthy as well as mobility limited and/or frail old adults."
"Progressive Resistance Training Volume: Effects on Muscle Thickness, Mass, and Strength Adaptations in Resistance-Trained Individuals",2020,"Daniel Aube, Tanuj Wadhi, Jacob Rauch, Ashmeet S. Anand, Christopher Barakat, et al.",https://doi.org/10.1519/jsc.0000000000003524,10.1519/jsc.0000000000003524,Google Scholar,"Abstract Aube, D, Wadhi, T, Rauch, J, Anand, A, Barakat, C, Pearson, J, Bradshaw, J, Zazzo, S, Ugrinowitsch, C, and De Souza, EO. Progressive resistance training volume: effects on muscle thickness, mass, and strength adaptations in resistance-trained individuals. J Strength Cond Res 36(3): 600–607, 2022—This study investigated the effects of 12-SET, 18-SET, and 24-SET lower-body weekly sets on muscle strength and mass accretion. Thirty-five resistance-trained individuals (one repetition maximum [1RM] squat: body mass ratio [1RM: BM] = 2.09) were randomly divided into 12-SET: n = 13, 18-SET: n = 12, and 24-SET: n = 10. Subjects underwent an 8-week resistance-training (RT) program consisting of 2 weekly sessions. Muscle strength (1RM), repetitions to failure (RTF) at 70% of 1RM, anterior thigh muscle thickness (MT), at the medial MT (MMT) and distal MT (DMT) points, as well as the sum of both sites (ΣMT), along with region of interest for fat-free mass (ROI-FFM) were measured at baseline and post-testing. For the 1RM, there was a main time effect ( p ≤ 0.0001). However, there was a strong trend toward significance ( p = 0.052) for group-by-time interaction, suggesting that 18-SET increased 1RM back squat to a greater extent compared with 24-SET (24-SET: 9.5 kg, 5.4%; 18-SET: 25.5 kg, 16.2%; 12-SET: 18.3 kg, 11.3%). For RTF, only a main time-effect ( p ≤ 0.0003) was observed (24-SET: 5.7 reps, 33.1%; 18-SET: 2.4 reps, 14.5%; 12-SET: 5.0 reps, 34.8%). For the MMT, DMT, ΣMT, and ROI-FFM, there was only main time-effect ( p ≤ 0.0001) (MMT: 24-SET: 0.15 cm, 2.7%; 18-SET: 0.32 cm, 5.7%; 12-SET: 0.38 cm, 6.4%—DMT: 24-SET: 0.39 cm, 13.1%; 18-SET: 0.28 cm, 8.9%; 12-SET: 0.34 cm, 9.7%—ΣMT: 24-SET: 0.54 cm, 6.1%; 18-SET: 0.60 cm, 6.7%; 12-SET: 0.72 cm, 7.7%, and ROI-FFM: 24-SET: 0.70 kg, 2.6%; 18-SET: 1.09 kg, 4.2%; 12-SET: 1.20 kg, 4.6%, respectively). Although all of the groups increased maximum strength, our results suggest that the middle dose range may optimize the gains in back squat 1RM. Our findings also support that differences in weekly set number did not impact in MT and ROI-FFM adaptations in subjects who can squat more than twice their body mass."
Higher Training Frequency Is Important for Gaining Muscular Strength Under Volume-Matched Training,2018,"Eisuke Ochi, Masataka Maruo, Yosuke Tsuchiya, Naokata Ishii, Koji Miura, et al.",https://doi.org/10.3389/fphys.2018.00744,10.3389/fphys.2018.00744,Google Scholar,"<b>Background:</b> This study investigated the effect of volume-matched strength training programs with different frequency and subsequent detraining on muscle size and strength. <b>Methods:</b> During a training period of 11 weeks, untrained subjects (age: 22.3 ± 0.9 years, height: 173.1 ± 4.8 cm and body mass: 66.8 ± 8.4 kg) performed knee-extension exercise at 67% of their estimated one-repetition maximum either one session per week (T1 group: 6 sets of 12 repetitions per session; <i>n</i> = 10) or three sessions per week (T3 group: 2 sets of 12 repetitions per session; <i>n</i> = 10). Rating of perceived exertion (RPE) and muscle stiffness were measured as an index of muscle fatigue and muscle damage, respectively. The magnitude of muscle hypertrophy was assessed with thigh circumference and the quadriceps muscle thickness. The changes in muscle strength were measured with isometric maximum voluntary contraction torque (MVC). <b>Results:</b> During the training period, RPE was significantly higher in the T1 than in the T3 (<i>p</i> < 0.001). After 11 weeks of training, both groups exhibited significant improvements in thigh circumference, muscle thickness, and MVC compared with baseline values. However, there was a significant group difference in MVC improvement at week 11 (T1: 43.5 ± 15.5%, T3: 65.2 ± 23.2%, <i>p</i> < 0.05). After 6 weeks of detraining, both groups showed the significant decreases in thigh circumference and muscle thickness from those at the end of training period, while no significant effect of detraining was observed in MVC. <b>Conclusion:</b> These results suggest that three training sessions per week with two sets are recommended for untrained subjects to improve muscle strength while minimizing fatigue compared to one session per week with six sets."
The Relationship between Resistance Training Frequency and Muscle Quality in Adolescents,2022,"Marshall A. Naimo, Ja K. Gu",https://doi.org/10.3390/ijerph19138099,10.3390/ijerph19138099,Google Scholar,"Previous research has established the role of resistance training (RT) on muscle function in adolescents, but a lack of evidence to optimize RT for enhancing muscle quality (MQ) exists. This study examined whether RT frequency is associated with MQ in a nationally representative adolescent cohort. A total of 605 adolescents (12−15 year) in NHANES were stratified based on RT frequency. MQ was calculated as combined handgrip strength divided by arm lean mass (via dual-energy X-ray absorptiometry). Analysis of covariance was adjusted for sex, race/ethnicity, and arm fat percentage; p < 0.05 was considered significant. RT frequency was associated with MQ for 2−7 day/week but not 1 day/week. When no RT was compared to 1−2 and 3−7 day/week, associations were present for 3−7 day/week but not 1−2 day/week. When comparing no RT to 1−4 and 5−7 day/week, associations existed for 5−7 day/week but not 1−4 day/week. Next, no RT was compared to 1, 2−3, and 4−7 day/week; associations were found for 4−7 day/week, while 2−3 day/week had a borderline association (p = 0.06); there were no associations for 1 day/week. Finally, no RT was compared to 1, 2, 3, 4, and 5−7 day/week; associations were present for all except 1 and 3 day/week. These prospective data suggest a minimum RT frequency of 2 day/week is associated with MQ in adolescents as indicated by the lack of differences in MQ between 1 day/week RT versus no RT."
Weekly Training Frequency Effects on Strength Gain: A Meta-Analysis,2018,"Grant W. Ralston, Lon Kilgore, Frank Wyatt, Duncan S. Buchan, Julien S. Baker",https://doi.org/10.1186/s40798-018-0149-9,10.1186/s40798-018-0149-9,Google Scholar,"The existing data does not provide a strong correlation between increased weekly training frequency (HF) and maximal strength gain in upper and lower body resistance exercises for a mixed population group. When RT is volume-equated for combined multi-joint and isolation exercises, there is no significant effect of RT frequency on muscular strength gain. More investigations are required to explore the effects of varying weekly training frequencies adequately."
