"title","year","authors","url","doi","source","abstract","journal","publisher","publication_date","document_type","keywords","institutions","countries","citation_count","language","pmid","llm_included","llm_excluded","llm_justification"
"Investigating the Index of Sustainable Development and Reduction in Greenhouse Gases of Renewable Energies","2022","Vadim V. Ponkratov, A. S. Kuznetsov, Iskandar Muda, Miftahul Jannah Nasution, Mohammed Al‐Bahrani, Hikmet Ş. Aybar","https://www.mdpi.com/2071-1050/14/22/14829","10.3390/su142214829","Google Scholar","Considering the limited resources of fossil energy and the problems caused by the emission of greenhouse gases, it is necessary to pay more attention to renewable energies, because in this way, the goals of sustainable development can be achieved. The importance of renewable energies in sustainable development, reducing greenhouse gases and increasing energy security on the one hand, and the need for financial resources and large investments for renewable energy projects on the other hand, doubles the role and importance of financial development in the development of renewable energies. Considering the importance of this issue, the present study examines the impact of the development of modern facilities and renewable energy technology. In this study, dynamic interactions in the Sustainable-Energy-Energy Development Pattern of carbon dioxide are investigated using the Bayesian Vector Auto Regression (BVAR) method. One of the most important indicators for evaluating sustainable development is the modified pure arrangement (GS). For this purpose, this index was used as a sustainable development index. The results indicate that the effect of positive impulse on renewable and renewable energy consumption on sustainable development in Uganda is positive. In addition, the positive shock of renewable and renewable energy consumption increases the emissions of carbon dioxide pollutants to a different extent. In addition, the effect of the growth of sustainable development index on renewable energy consumption and renewal energy consumption is (CO2) negative. The research results show that based on the RMSE criterion, the former SSVS-Full function was used to investigate the impact of renewable energy consumption on sustainable development and the independent Normal-Wish art function was used. Therefore, in this research, the dynamic relationships between sustainable development, energy consumption (separately from renewable and non-renewable energy) and CO2 emissions are investigated.","Sustainability","Multidisciplinary Digital Publishing Institute","2022-11-10","article","Renewable energy, Sustainable development, Greenhouse gas, Natural resource economics, Energy consumption, Environmental economics, Fossil fuel, Index (typography), Energy development, Energy security","Financial University, Bauman Moscow State Technical University, Universitas Sumatera Utara, Badan Penelitian dan Pengembangan Kesehatan, China Medical University, Eastern Mediterranean University, China Medical University Hospital","RU, ID, TW, CY","9","en","","0","1","The paper does not match the research question or study design, which focuses on the average reduction in greenhouse gas emissions in developing countries that have adopted renewable energy policies between 2015 and 2020 using a difference-in-differences study design. The paper uses a Bayesian Vector Auto Regression (BVAR) method and focuses on Uganda, not a sample of developing countries, and does not use a difference-in-differences study design."
"Climate-related development finance and renewable energy consumption in greenhouse gas emissions reduction in the Congo basin","2022","Nkwetta Ajong Aquilas, Johannes Tabi Atemnkeng","https://www.sciencedirect.com/science/article/pii/S2211467X22001651","10.1016/j.esr.2022.100971","Google Scholar","The global increasing trend in total greenhouse gas emissions in recent decades has triggered the need for climate-related development financing. This study analyzes the effects of climate-related development mitigation finance and renewable energy consumption on greenhouse gas emissions in the Congo Basin. Using panel data from 2002 to 2020, panel regression estimates empirically reveal (1) a minimal significant increase in greenhouse gas emissions with respect to an increase in climate-related development mitigation finance (2) An increase in climate-related mitigation finance significantly promotes the consumption of renewable energy (3) An increase in renewable energy consumption reduces greenhouse gas emissions (4) An increase in renewable energy consumption reduces the effect of climate-related mitigation finance on greenhouse emissions. This study suggest the continuous flow of climate-related development mitigation finance from donor countries and bodies to developing countries on a more regular basis and the putting in place of a mechanism that tracks climate funds to ensure that they are effectively used in generating renewable energies such as solar, hydroelectric, biomass, wind and geothermal energies.","Energy Strategy Reviews","Elsevier BV","2022-09-28","article","Greenhouse gas, Renewable energy, Climate Finance, Climate change mitigation, Environmental science, Natural resource economics, Climate change, Consumption (sociology), Energy consumption, Economics","University of Buea","CM","63","en","","0","1","The paper does not match the research question as it focuses on climate-related development finance and renewable energy consumption in the Congo Basin, not on the impact of renewable energy policies on greenhouse gas emissions in a sample of developing countries using a difference-in-differences study design. It is also not a difference-in-differences study. Therefore, it is excluded based on the exclusion criterion of 'Theoretical or conceptual studies without empirical analysis' and 'Studies not matching the research question'."
"The role of green finance, energy transition, and digitalization in OECD greenhouse gas emissions","2025","Shahzad Alvi, Imtiaz Ahmad, S. Nawaz, W. L. Cornell, Muhammad Khalid Anser, Mehboob Ul Hassan","https://www.sciencedirect.com/science/article/pii/S0959652625012156","10.1016/j.jclepro.2025.145865","Google Scholar","Sustainable development involves finding a balance between economic growth, environmental protection, and social responsibility. Successful energy transition, green finance and digitalization are important to achieve net-zero carbon emissions by 2050. This study examines the effect of key drivers of environmental sustainability on the greenhouse gas emissions of 31 OECD economies from 2000-2020. This study proposes a policy framework to advance SDG 7 (Affordable and Clean Energy) and SDG 13 (Climate Action) in OECD economies and to fill a literature gap by providing empirical evidence on the combined effect of technological innovation (environmental patents), energy transition, and green finance in OECD economies. The study employed various empirical estimation techniques, including the Fully Modified Ordinary Least Squares, the Feasible Generalized Least Squares, Method of Moment Quantile Regression (MMQR), Quantile Regression, and Dumitrescu and Hurlin causality test. Our findings revealed that energy transition, digitalization, environmental patents, renewable energy, and green finance, help in reducing greenhouse gas emissions (GHGs) thus promoting environmental sustainability. Whereas economic growth, urbanization, and trade liberalization increase carbon emissions in the OECD economies. Moreover, the study also indicates the presence of bidirectional causality between these drivers. This study contributes to the existing literature by offering new empirical evidence on the interactions between green finance, energy transition, digitalization and GHG emissions in OECD countries.","Journal of Cleaner Production","Elsevier BV","2025-05-29","article","Green house, Passive house, Greenhouse gas, Economics, Business, Natural resource economics, Waste management, Engineering, Efficient energy use, Biology","Queensland University of Technology, Xi'an International Studies University, National University of Sciences and Technology, Ministry of Finance, Recep Tayyip Erdoğan University, Xi’an International University, King Saud University, University of Business and Technology","AU, CN, PK, JP, TR, SA","22","en","","0","1","The paper does not meet the inclusion criteria as it focuses on OECD economies, not developing countries, and does not use a difference-in-differences study design. It matches the exclusion criterion of not having a clear developing country focus."
"Biodiversity redistribution under climate change: Impacts on ecosystems and human well-being","2017","GT Pecl, Miguel B. Araújo, Johann D. Bell, Julia L. Blanchard, Timothy C. Bonebrake, I‐Ching Chen, Thomas D. Clark, Robert K. Colwell, Finn Danielsen, Birgitta Evengård","https://www.researchgate.net/profile/Chinonso-Ihemeson/publication/381401277_The_Roles_of_Developed_and_Developing_Countries_in_Curbing_Fossil_Emission_for_Sustainable_Development_Implications_for_Policies_Making/links/666b2b68b769e76919337b8d/The-Roles-of-Developed-and-Developing-Countries-in-Curbing-Fossil-Emission-for-Sustainable-Development-Implications-for-Policies-Making.pdf","10.1126/science.aai9214","Google Scholar","Distributions of Earth's species are changing at accelerating rates, increasingly driven by human-mediated climate change. Such changes are already altering the composition of ecological communities, but beyond conservation of natural systems, how and why does this matter? We review evidence that climate-driven species redistribution at regional to global scales affects ecosystem functioning, human well-being, and the dynamics of climate change itself. Production of natural resources required for food security, patterns of disease transmission, and processes of carbon sequestration are all altered by changes in species distribution. Consideration of these effects of biodiversity redistribution is critical yet lacking in most mitigation and adaptation strategies, including the United Nation's Sustainable Development Goals.","Science","American Association for the Advancement of Science","2017-03-30","review","Biodiversity, Redistribution (election), Climate change, Ecosystem, Natural resource economics, Environmental science, Environmental resource management, Ecology, Economics, Biology","Australian Antarctic Division, Centre for Marine Socioecology, Institute for Marine and Antarctic Studies, University of Copenhagen, Consejo Superior de Investigaciones Científicas, University of Évora, Museo Nacional de Ciencias Naturales, Conservation International, University of Wollongong, University of Hong Kong, National Cheng Kung University, CSIRO Oceans and Atmosphere, Commonwealth Scientific and Industrial Research Organisation, Health Sciences and Nutrition, Animal, Food and Health Sciences, University of Connecticut, Museum of Boulder, Universidade Federal de Goiás, Nordisk Fond for Miljø og Udvikling, Umeå University, James Cook University, CSIRO Land and Water, ACT Government, University of Cape Town, Stellenbosch University, National Oceanic and Atmospheric Administration, NOAA National Ocean Service, NOAA Oceanic and Atmospheric Research, Monash University, Yale University, University of Tasmania, Centre National de la Recherche Scientifique, Université de Picardie Jules Verne, Southern Cross University, The University of Western Australia, University of Eastern Finland, Finland University, Australian Research Council, ARC Centre of Excellence for Coral Reef Studies, Zoological Society of London, National Oceanography Centre, University of Southampton, University of Florida, The University of Queensland, University of California, Irvine, La Trobe University, University of British Columbia, Biodiversity Research Center, Academia Sinica, UNSW Sydney","AU, DK, ES, PT, US, HK, TW, BR, SE, ZA, FR, FI, GB, CA","3465","en","28360268","0","1","The paper does not focus on the impact of renewable energy policies on greenhouse gas emissions in developing countries, which is the primary inclusion criterion. Instead, it discusses the effects of climate-driven species redistribution on ecosystems and human well-being, making it outside the scope of the research question. This matches exclusion criterion 'Theoretical or conceptual studies without empirical analysis' and 'Studies on developed countries or without a clear developing country focus'."
"Nexus between greenhouse gas emissions and its determinants: The role of renewable energy and technological innovations towards green development in South Korea","2023","Asif Raihan","https://www.sciencedirect.com/science/article/pii/S2949753123000346","10.1016/j.igd.2023.100066","Google Scholar","The environmental challenges that have arisen as a result of rapid economic growth have become a hindrance to social progress. This article examines the effects of energy consumption, urbanization, industrialization, economic development, and technological innovations on South Korea's greenhouse gas (GHG) emissions. Using data from 1990 to 2021 and the autoregressive distributed lag (ARDL) method for empirical investigations, the findings indicate that fossil fuel energy consumption, urbanization, industrialization, and economic expansion all pose a threat to environmental sustainability due to their positive impact on GHG emissions. In contrast, the results suggest that renewable energy usage and technological innovations improve environmental sustainability by reducing GHG emissions in both the short and long term. In addition, the findings were validated using Fully Modified Ordinary Least Squares (FMOLS), Dynamic Ordinary Least Squares (DOLS), and Canonical Cointegration Regression (CCR) techniques. The most significant contribution is that the findings of this study provide various policy recommendations for achieving environmental sustainability and net zero emissions in South Korea.","Innovation and Green Development","Elsevier BV","2023-05-03","article","Greenhouse gas, Industrialisation, Sustainability, Nexus (standard), Economics, Renewable energy, Natural resource economics, Cointegration, Urbanization, Fossil fuel","National University of Malaysia","MY","83","en","","0","1","The paper does not meet the research question's focus on developing countries and a difference-in-differences study design. It specifically examines South Korea, which could be considered a developed country, and uses an autoregressive distributed lag (ARDL) method, not a difference-in-differences design. Thus, it matches exclusion criteria due to its focus on a developed country and study design."
"Foreign direct investment and renewable energy in climate change mitigation: Does governance matter?","2020","Samuel Asumadu Sarkodie, Samuel Adams, Thomas Leirvik","https://www.sciencedirect.com/science/article/pii/S0959652620313093","10.1016/j.jclepro.2020.121262","Google Scholar","Climate change mitigation is a topical issue with growing debate in the context of the renewable energy transition, global partnership, governance, and economic growth. The complexness of climate change makes it difficult to predict relationships and formulate policies across varied countries. Motivated by the core mandate of the Kyoto Protocol, we examined the individual, combined and interactive impact of growth in income, renewable energy, foreign direct investment, and governance on greenhouse gas emissions. We decomposed the relationships to account for the theories of scale effect, composition effect and technique effect. The study utilized a dynamic heterogeneous estimation technique with a panel data from 1990 to 2017 in 47 Sub-Saharan African countries. Our adopted empirical framework made it possible to account for heterogeneity, a situation that may be prevalent in countries with varied economic and environmental policies. The empirical results revealed that increasing the share of renewable energy by 1% declines greenhouse gas emissions by as much as 35.32% (95% Confidence interval) while a 1% increase in the coupling effect of income level, governance, and renewable energy consumption intensifies climate change by 0.79%. The interactive effects of scale, composition, and technique indicators were found to worsen climate change. The decoupling effect revealed that while foreign direct investment, income level, and governance exacerbate climate change, renewable energy consumption lessens climate change and its impact. From a policy perspective, the magnitude of the technique effect of renewable energy consumption depends on, inter alia, its share in the energy portfolio, technological innovation, and country-specific policy instruments. The study demonstrated that decoupling renewable energy from economic growth propels the transition from fossil fuels, leading to energy efficiency— explaining the decline in GHG emissions.","Journal of Cleaner Production","Elsevier BV","2020-03-25","article","Climate change mitigation, Renewable energy, Economics, Natural resource economics, Climate change, Foreign direct investment, Corporate governance, Business, Environmental economics, Macroeconomics","Nord University, Ghana Institute of Management and Public Administration","NO, GH","205","en","","0","1","The paper does not match the research question or study design, which focuses on the average reduction in greenhouse gas emissions in developing countries that adopted renewable energy policies between 2015 and 2020 using a difference-in-differences study design. The provided paper examines the impact of foreign direct investment, renewable energy, and governance on greenhouse gas emissions in Sub-Saharan African countries from 1990 to 2017, which does not align with the specified time frame or study design. Therefore, it is excluded due to not meeting the inclusion criteria for study design and time frame."
"Green Technologies and Their Role in Mitigating Climate Change: A Comparative Study Across Developing Nations","2023","Yitong Niu, Vugar Abdullayev, Abuzarova Vusala Alyar, Asgarov Taleh Kamran","https://peninsula-press.ae/Journals/index.php/ESTIDAMAA/article/view/38","10.70470/estidamaa/2023/004","Google Scholar","Climate change poses major challenges around the world, with developing countries particularly vulnerable due to lack of resources and services. Green technologies—such as renewable energy, sustainable agriculture, and green materials—offer promising solutions to mitigate climate change impacts but the adoption of these technologies in developing countries are still uneven, driven by political, economic, and technological factors. This study seeks to examine the role of green technologies in climate change mitigation in four developing countries—India, Brazil, South Africa, and Kenya—through comparative analysis. The problem statement focuses on the inequitable adoption of green technologies in developing countries, where financial constraints, lack of technical expertise, and inconsistent government policies prevent widespread implementation And as a result comes to be considered which shows that green technologies have contributed significantly in reducing carbon emissions in these countries. For example, India’s solar power system installed 62 GW of solar capacity, reducing emissions by 150 million metric tons per year. Brazil’s biofuel industry, which produces 35 billion liters of ethanol a year, has reduced its reliance on fossil fuels for transportation. The Kenya geothermal sector generated 863 MW of electricity, reducing the country’s dependence on fossil fuels by 45%. However, the study also highlights barriers such as inadequate funding, inadequate infrastructure and social opposition, which limit the potential of all these technologies.","ESTIDAMAA.","","2023-04-18","article","Climate change, Developing country, Environmental planning, Environmental resource management, Natural resource economics, Political science, Geography, Environmental science, Economic growth, Economics","Universiti Sains Malaysia, Azerbaijan State Oil and Industry University, National Aviation Academy","MY, AZ","37","en","","0","1","The paper is excluded because it does not use a difference-in-differences study design, which is a required inclusion criterion. The paper provides a comparative analysis of green technologies in four developing countries but does not meet the specific research design requirement."
"The mitigating effects of economic complexity and renewable energy on carbon emissions in developed countries","2020","Buhari Doğan, Oana M. Driha, Daniel Balsalobre‐Lorente, Umer Shahzad","https://doi.org/10.1002/sd.2125","10.1002/sd.2125","Openalex","Abstract Under the growing threats of climate change, innovation and pollution reduction have become driving forces for cleaner economic growth and the environment. This study endeavors to analyze the effect of economic complexity—understood as structural transformation toward more sophisticated and knowledge‐based production, economic progress, renewable energy consumption, and population growth over carbon emissions. Our study employs panel data for a sample of 28 OECD countries covering the period of 1990–2014. The main contribution to the energy economics literature is given by bringing together the concept of environmental degradation and economic complexity controlling via renewable energy consumption and economic and population growth. Based on the extensive empirical analysis (augmented mean group estimator, panel cointegration, and panel regression techniques), we conclude that economic complexity and renewable energy might help in mitigating the environmental degradation problems in OECD countries.","Sustainable Development","Wiley","2020-09-09","article","Renewable energy, Economics, Natural resource economics, Cointegration, Panel data, Environmental degradation, Energy consumption, Environmental pollution, Consumption (sociology), Climate change","Süleyman Demirel University, University of Alicante, University of Castilla-La Mancha, Anhui University of Finance and Economics","TR, Spain, China","513","en","","0","1","The paper focuses on developed countries (OECD), not developing countries, which matches exclusion criterion 'Studies on developed countries or without a clear developing country focus'. Additionally, the study design and time frame (1990-2014) do not align with the research question's requirements (2015-2020, difference-in-differences design)."
"Pathways to Decarbonize Honduras' Power Sector.","2025","Ricardo Pineda-Guzman, Paola Sofia Acevedo Alvarado, Pedro A Sánchez-Pérez, Sergio Castellanos","https://pubmed.ncbi.nlm.nih.gov/39993932/","10.1021/acs.est.4c13433","Pubmed","The bulk of global greenhouse gas emissions in the following decades will come from rising living standards in emerging economies. To address this coupled challenge, low-emission development strategies are essential to mitigate greenhouse gas emissions while jointly allowing developing countries to increase resilience. However, there has been a widespread policy gap between the long-term strategies needed to achieve net zero emissions and proposed national electrical planning documents. Honduras, historically one of the most climate-vulnerable countries, committed to decarbonizing by 2050 but expects an increase in greenhouse gas emissions from current levels across all scenarios in its national electricity planning strategy. We develop a capacity expansion model to analyze a range of alternative pathways to enable low-cost energy transitions, identifying economically feasible emission reduction pathways in the electrical sector. Our results show that an unrestricted, low-cost expansion scenario increases installed renewable capacity to 80% while delivering significantly more affordable electricity than current national expansion pathways. A deep decarbonization scenario dispatches renewable energy resources with a small cost premium of 9.60 $/MWh without implementing carbon pricing or carbon sequestration technologies. Affordable pathways align Honduras' energy sectoral planning with needed global long- and medium-term decarbonization and climate change strategies.","Environmental science & technology","","2025","Journal Article","decarbonization, energy transitions, macro-energy systems","Fariborz Maseeh Department of Civil, Architectural and Environmental Engineering, The University of Texas at Austin, 301 Dean Keeton St. C1752, Austin, Texas 78712, United States., School of Engineering, University of California Merced, 5200 Lake Rd, Merced, California, 95340, United States.","United States.","","","39993932","0","1","The paper does not match the research question as it focuses on pathways to decarbonize Honduras' power sector rather than comparing the impact of renewable energy policies on greenhouse gas emissions in developing countries. It also does not use a difference-in-differences study design. Therefore, it is excluded based on the criteria that it is not an empirical study using a difference-in-differences study design and does not provide a comparison that aligns with the research question."
"Wind and solar energy in Small Island Developing States for mitigating global climate change.","2024","Peni Hausia Havea, Buda Su, Changyi Liu, Zbigniew W Kundzewicz, Yanjun Wang, Guojie Wang, Cheng Jing, Han Jiang, Fang Yang, Fiamē Naomi Mata'afa","https://pubmed.ncbi.nlm.nih.gov/39635119/","10.1016/j.isci.2024.111062","Pubmed","Despite contributing less than 1% of global greenhouse gas (GHG) emissions, Small Island Developing States (SIDS) have the potential to drive global mitigation actions by advocating for ambitious emission reduction targets, promoting renewable energy solutions, and advancing sustainable development practices. The adoption of onshore-offshore wind and solar energy in 39 SIDS, which are currently experiencing the adverse effects of climate change, presents a significant opportunity. By harnessing renewable energy sources, these countries can effectively mitigate GHG emissions, enhance energy security, and build resilience. This approach aligns with the renewable energy roadmap outlined at the 28th Conference of Parties (COP) of the United Nations Framework Convention on Climate Change (UNFCCC), facilitating a transition from fossil fuels to renewable energy sources. However, realizing such prospects requires collaboration among policymakers, industry stakeholders, and researchers to address multiple technical, economic, and environmental issues. Through this joint effort, the untapped potential of wind and solar energy can be fully harnessed, offering a pragmatic solution to actively mitigate climate change and the issues faced in these regions.","iScience","","2024","Journal Article, Review","energy engineering, energy policy, engineering, environmental science","Research Institute of Climatic and Environmental Governance / Institute for Disaster Risk Management, School of Geographical Science, Nanjing University of Information Science & Technology, Nanjing 210044, China., Pacific Global Solution, Nuku'alofa, Tongatapu, Tonga., Global Energy Interconnection Development and Cooperation Organization, Beijing 100031, China., Department of Environmental Engineering and Mechanical Engineering, Poznan University of Life Sciences, 60-637 Poznan, Poland., Prime Minister Office of Western Samoa, Government of Samoa, Apia, Samoa., Laboratory for Climate Risk and Urban-Rural Smart Governance / School of Geography, Jiangsu Second Normal University, Nanjing 210013, China.","China., Tonga., Poland., Samoa.","","","39635119","0","1","The paper does not meet the inclusion criteria because it does not provide quantitative data on greenhouse gas emissions reduction using a difference-in-differences study design. It is excluded because it is not an empirical study using a difference-in-differences study design, and it does not provide specific quantitative data on greenhouse gas emissions."
